unixtime,0.3um,0.5um,1.0um,2.0um,5.0um,10.0um,,lat,lon,alt,pm1,pm25,pm4,pm10,rh,t,voc,nox,2pm25,2pm10
1747467001,30126.9,1313.5,334.6,213.5,32.7,3.8,,0,0,0,4.3,4.5,4.5,4.5,37.7,24.5,31,1,4,6
1747467601,35180.8,1490.4,384.6,240.4,40.4,26.9,,0,0,0,5.5,5.8,5.8,5.8,37.7,24.5,30,1,5,8
1747468201,36692.3,1507.7,411.5,207.7,34.6,7.7,,0,0,0,5.7,6,6,6,37.5,24.5,32,1,6,9
1747468801,36390.4,1563.5,369.2,207.7,5.8,3.8,,0,0,0,6.4,6.7,6.7,6.7,36.9,24.4,30,1,5,8
1747469402,38500,1596.2,428.8,163.5,17.3,7.7,,0,0,0,6.7,7,7,7,36.1,24.3,30,1,3,5
1747470001,38128.8,1496.2,415.4,130.8,23.1,1.9,,0,0,0,6.1,6.4,6.4,6.4,35.4,24.3,31,1,4,6
1747470601,38955.8,1423.1,382.7,159.6,19.2,5.8,,0,0,0,6.2,6.5,6.5,6.5,35.1,24.2,31,1,5,8
1747471201,41263.5,1617.3,409.6,151.9,25,7.7,,0,0,0,6.6,6.9,6.9,6.9,35.3,24.2,29,1,3,5
1747471801,48930.8,1909.6,419.2,213.5,25,11.5,,0,0,0,7.1,7.4,7.4,7.4,36.2,24.2,31,1,5,8
1747472401,50486.5,1982.7,448.1,221.2,23.1,9.6,,0,0,0,8.2,8.6,8.6,8.6,36.2,24.4,30,1,6,9
1747473001,48215.4,1794.2,384.6,198.1,40.4,7.7,,0,0,0,7.9,8.3,8.3,8.3,35.9,24.4,31,1,4,6
1747473601,45975,1611.5,401.9,200,21.2,1.9,,0,0,0,6.6,6.9,6.9,6.9,35.8,24.4,31,1,4,6
1747474201,44880.8,1715.4,400,188.5,15.4,1.9,,0,0,0,6.8,7.1,7.1,7.1,35.6,24.5,30,1,5,8
1747474801,43890.4,1605.8,426.9,209.6,13.5,1.9,,0,0,0,6.8,7.1,7.1,7.1,35.2,24.5,31,1,3,5
1747475402,43007.7,1592.3,388.5,190.4,23.1,1.9,,0,0,0,6.8,7.2,7.2,7.2,35.1,24.4,30,1,,
1747476001,42338.5,1603.8,325,144.2,25,3.8,,0,0,0,7.1,7.4,7.4,7.4,35.3,24.4,32,1,4,6
1747476601,42661.5,1611.5,309.6,155.8,15.4,1.9,,0,0,0,6.9,7.3,7.3,7.3,34.7,24.3,31,1,4,6
1747477201,42450,1607.7,367.3,165.4,28.8,3.8,,0,0,0,7.4,7.8,7.8,7.8,34.5,24.3,28,1,3,5
1747477801,42448.1,1525,323.1,180.8,25,3.8,,0,0,0,6.4,6.7,6.7,6.7,34.8,24.2,30,1,5,8
1747478401,42273.1,1538.5,407.7,232.7,40.4,7.7,,0,0,0,6.7,7.1,7.1,7.1,34.4,24.3,29,1,4,6
1747479001,42921.2,1490.4,386.5,201.9,34.6,1.9,,0,0,0,6.8,7.2,7.2,7.2,34.4,24.3,29,1,4,6
1747479601,39998.1,1492.3,305.8,223.1,25,11.5,,0,0,0,6.6,6.9,6.9,6.9,35.2,24.3,29,1,4,6
1747480201,38709.6,1340.4,294.2,171.2,15.4,3.8,,0,0,0,6.4,6.7,6.7,6.7,35.6,24.3,31,1,4,6
1747480801,37261.5,1313.5,334.6,146.2,17.3,1.9,,0,0,0,5.6,5.9,5.9,5.9,35.7,24.3,27,1,5,8
1747481401,37250,1315.4,271.2,163.5,13.5,3.8,,0,0,0,6.5,6.8,6.8,6.8,35.8,24.3,32,1,4,6
1747482001,36430.8,1259.6,305.8,136.5,13.5,0,,0,0,0,6.1,6.4,6.4,6.4,35.8,24.3,31,1,3,5
1747482601,35448.1,1163.5,267.3,90.4,15.4,3.8,,0,0,0,5.7,6,6,6,35.9,24.3,26,1,3,5
1747483201,35476.9,1203.8,273.1,107.7,9.6,3.8,,0,0,0,5.7,6,6,6,35.9,24.4,34,1,3,5
1747483801,36369.2,1182.7,265.4,123.1,13.5,1.9,,0,0,0,6.1,6.4,6.4,6.4,35.9,24.4,30,1,4,6
1747484401,34761.5,1201.9,215.4,94.2,7.7,0,,0,0,0,5.9,6.1,6.1,6.1,35.9,24.4,30,1,2,4
1747485001,33078.8,1194.2,209.6,98.1,13.5,0,,0,0,0,5.2,5.5,5.5,5.5,36,24.4,30,1,3,5
1747485601,33423.1,1415.4,384.6,126.9,25,3.8,,0,0,0,5.4,5.6,5.6,5.6,36,24.4,31,1,4,6
1747486201,35109.6,1853.8,538.5,203.8,13.5,0,,0,0,0,5.8,6.1,6.1,6.1,36,24.4,31,1,4,6
1747486801,34632.7,1763.5,440.4,113.5,3.8,0,,0,0,0,5.7,6,6,6,36.1,24.4,32,1,3,5
1747487401,33888.5,1421.2,357.7,121.2,5.8,0,,0,0,0,5.9,6.1,6.1,6.1,36.1,24.4,31,1,3,5
1747488001,33392.3,1442.3,271.2,115.4,11.5,0,,0,0,0,5.6,5.9,5.9,5.9,36.1,24.4,31,1,4,6
1747488601,32486.5,1511.5,365.4,119.2,5.8,1.9,,0,0,0,5.9,6.2,6.2,6.2,36,24.4,30,1,3,5
1747489201,32598.1,1301.9,338.5,101.9,3.8,0,,0,0,0,4.7,5,5,5,36.1,24.4,30,1,3,5
1747489801,32038.5,1382.7,321.2,101.9,3.8,0,,0,0,0,5.2,5.5,5.5,5.5,36.1,24.4,30,1,3,5
1747490401,31840.4,1375,246.2,69.2,3.8,0,,0,0,0,5.2,5.5,5.5,5.5,36.1,24.4,31,1,3,5
1747491001,31348.1,1325,292.3,86.5,5.8,0,,0,0,0,5.4,5.6,5.6,5.6,36.1,24.4,31,1,2,4
1747491601,31401.9,1253.8,313.5,75,3.8,0,,0,0,0,5.2,5.4,5.4,5.4,36.1,24.4,31,1,2,4
